,Name,Rarity,Quantity,Price,Expansion,Finish,Language,Condition
8797,Narset Parter of Veils (JPN Alternate Art),Uncommon,3.0,375.0,War of the Spark,Foil,Japanese,NEAR MINT
6186,Tarmogoyf,Rare,2.0,350.0,Futuresight,Foil,English,NEAR MINT
2593,Mana Vault,S,4.0,325.0,Kaladesh Inventions,Foil,English,NEAR MINT
2508,Hallowed Fountain,Rare,2.0,300.0,Dissension,Foil,English,NEAR MINT
2591,Lotus Petal,S,4.0,300.0,Kaladesh Inventions,Foil,English,NEAR MINT
7964,"Jace, the Mind Sculptor",Mythic,2.0,275.0,Worldwake,Foil,English,NEAR MINT
2614,Sword of Feast and Famine,S,2.0,250.0,Kaladesh Inventions,Foil,English,NEAR MINT
2578,Chrome Mox,S,4.0,240.0,Kaladesh Inventions,Foil,English,NEAR MINT
10595,Demonic Tutor (JP ALT ART),Mythic,8.0,230.0,Strixhaven Mystical Archive,Foil,Japanese,NEAR MINT
975,"Oboro, Palace in the Clouds",Rare,2.0,225.0,Saviors of Kamigawa,Foil,English,NEAR MINT
2596,Mox Opal,S,4.0,225.0,Kaladesh Inventions,Foil,English,NEAR MINT
5434,The Scarab God,Common,4.0,220.0,Amonkhet Invocations,Foil,English,NEAR MINT
10100,Wrenn and Six,Mythic,8.0,220.0,Modern Horizons,Foil,English,NEAR MINT
2575,Chalice of the Void,S,2.0,215.0,Kaladesh Inventions,Foil,English,NEAR MINT
6870,Ponder,S,4.0,215.0,Time Spiral Remastered,Foil,English,NEAR MINT
4473,Misty Rainforest,Mythic,4.0,210.0,Zendikar Expeditions,Foil,English,NEAR MINT
1366,Steam Vents,Rare,2.0,200.0,Guildpact,Foil,English,NEAR MINT
2212,The Meathook Massacre,Mythic,2.0,200.0,Innistrad  Double Feature,Foil,English,NEAR MINT
2486,Blood Crypt,Rare,2.0,200.0,Dissension,Foil,English,NEAR MINT
2489,Breeding Pool,Rare,2.0,200.0,Dissension,Foil,English,NEAR MINT
4476,Polluted Delta,Mythic,4.0,200.0,Zendikar Expeditions,Foil,English,NEAR MINT
5416,Force of Will,S,4.0,200.0,Amonkhet Invocations,Foil,English,NEAR MINT
6929,Thoughtseize,S,4.0,200.0,Time Spiral Remastered,Foil,English,NEAR MINT
