"","Name","Edition","Condition","Language","Foil","Count"
"1","Golgari Keyrune","Return to Ravnica","Near Mint","English","foil",1
"2","Demonmail Hauberk","Innistrad","Near Mint","English","foil",2
"3","Kheru Bloodsucker","Khans of Tarkir","Near Mint","English","foil",1
"4","Murderer's Axe","Shadows over Innistrad","Near Mint","English","foil",1
"5","Warden of Geometries","Oath of the Gatewatch","Near Mint","English","foil",2
"6","Tapestry of the Ages","Dragons of Tarkir","Near Mint","English","foil",1
"7","Hot Soup","Magic 2015 Core Set","Near Mint","English","foil",1
"8","Swiftwater Cliffs","Eternal Masters","Near Mint","English","foil",1
"9","Diabolic Tutor","Magic 2014 Core Set","Near Mint","English","foil",1
"10","Rugged Highlands","Eternal Masters","Near Mint","English","foil",1
"11","Thornwood Falls","Eternal Masters","Near Mint","English","foil",1
"12","Scoured Barrens","Eternal Masters","Near Mint","English","foil",1
"13","Blightspeaker","Planar Chaos","Near Mint","English","foil",1
"14","Qarsi High Priest","Fate Reforged","Near Mint","English","foil",2
"15","Prismatic Lens","Eternal Masters","Near Mint","English","foil",2
"16","Wind-Scarred Crag","Eternal Masters","Near Mint","English","foil",1
"17","Rogue's Passage","Conspiracy: Take the Crown","Near Mint","English","foil",1
"18","Gruul Keyrune","Gatecrash","Near Mint","English","foil",1
"19","Myr Retriever","Modern Masters","Good (Lightly Played)","English","foil",1
"20","Leonin Scimitar","Mirrodin","Near Mint","English","foil",1
"21","Runed Servitor","Modern Masters 2015 Edition","Near Mint","English","foil",1
"22","Jar of Eyeballs","Dark Ascension","Near Mint","English","foil",1
"23","Planar Guide","Legions","Good (Lightly Played)","English","foil",1
"24","Moonsilver Spear","Prerelease Events","Near Mint","English","foil",1
"25","Coiling Oracle","Modern Masters 2017 Edition","Near Mint","English","foil",1
"26","Gruul Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil",1
"27","Bloodfell Caves","Eternal Masters","Near Mint","English","foil",1
"28","Blossoming Sands","Eternal Masters","Near Mint","English","foil",1
"29","Honed Khopesh","Amonkhet","Near Mint","English","foil",2
"30","Izzet Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil",1
"31","Blood Seeker","Magic 2012","Near Mint","English","foil",1
"32","Golgari Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil",1
"33","Dunes of the Dead","Hour of Devastation","Near Mint","English","foil",1
"34","Blightspeaker","Modern Masters","Near Mint","English","foil",1
"35","Kite Shield","Magic 2012","Near Mint","English","foil",1
"36","Spiketail Hatchling","Prophecy","Near Mint","English","foil",1
"37","Encroaching Wastes","Magic 2014 Core Set","Near Mint","English","foil",1
"38","Selesnya Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil",2
"39","Rakdos Keyrune","Return to Ravnica","Near Mint","English","foil",1
"40","Sram, Senior Edificer","Prerelease Events","Near Mint","English","foil",1
"41","Sigil of Distinction","Shards of Alara","Near Mint","English","foil",1
"42","Etched Oracle","Modern Masters","Near Mint","English","foil",1
"43","Etched Oracle","Modern Masters 2015 Edition","Near Mint","English","foil",2
"44","Platinum Angel","From the Vault: Angels","Near Mint","English","foil",1
"45","Blinkmoth Urn","Mirrodin","Good (Lightly Played)","English","foil",1
"46","Malakir Bloodwitch","Zendikar","Near Mint","English","foil",1
"47","Maze's End","Prerelease Events","Near Mint","English","foil",1
"48","Titan's Presence","Battle for Zendikar","Near Mint","English","foil",2
"49","Vampire Lacerator","Masters 25","Near Mint","English","foil",1
"50","Banewhip Punisher","Hour of Devastation","Near Mint","English","foil",2
"51","Forsake the Worldly","Amonkhet","Near Mint","English","foil",2
"52","Havengul Vampire","Conspiracy: Take the Crown","Near Mint","English","foil",1
"53","Mercurial Geists","Eldritch Moon","Near Mint","English","foil",2
"54","Prismatic Lens","Eternal Masters","Near Mint","English","",2
"55","Haunted Fengraf","Masters 25","Near Mint","English","foil",1
"56","Mind Stone","Iconic Masters","Near Mint","English","foil",1
"57","Fossil Find","Shadowmoor","Near Mint","English","foil",1
"58","Strangleroot Geist","Dark Ascension","Near Mint","English","foil",1
"59","Rancor","Eternal Masters","Near Mint","English","foil",1
"60","Hornet Sting","Magic 2011","Near Mint","English","foil",1
"61","Prey Upon","Conspiracy: Take the Crown","Near Mint","English","foil",1
"62","Dryad Militant","Return to Ravnica","Near Mint","English","foil",1
"63","Kalonian Tusker","Magic 2014 Core Set","Near Mint","English","foil",1
"64","Prying Blade","Ixalan","Near Mint","English","foil",1
"65","Sliver Hive","Magic 2015 Core Set","Near Mint","English","foil",1
"66","Anticipate","Dragons of Tarkir","Near Mint","English","foil",2
"67","Natural State","Oath of the Gatewatch","Near Mint","English","foil",1
"68","Feed the Clan","Khans of Tarkir","Near Mint","English","foil",2
"69","Spell Burst","Time Spiral ""Timeshifted""","Good (Lightly Played)","English","foil",1
"70","Sword of Vengeance","Magic 2011","Near Mint","English","foil",1
"71","Lotleth Troll","Return to Ravnica","Near Mint","English","foil",1
"72","Shrine of the Forsaken Gods","Battle for Zendikar","Near Mint","English","foil",1
"73","Avatar of the Resolute","Dragons of Tarkir","Near Mint","English","foil",1
"74","Vines of Vastwood","Modern Masters 2015 Edition","Good (Lightly Played)","English","foil",1
"75","Lush Growth","Shards of Alara","Near Mint","English","foil",1
"76","Foundry Inspector","Kaladesh","Near Mint","English","foil",1
"77","Unravel the Aether","Born of the Gods","Near Mint","English","foil",1
"78","Experiment One","Gatecrash","Near Mint","English","foil",1
"79","Grasping Dunes","Amonkhet","Near Mint","English","foil",2
"80","Kefnet the Mindful","Amonkhet","Near Mint","English","foil",1
"81","Knight Ally Token","Battle for Zendikar","Near Mint","English","",1
"82","Woodland Patrol","Eldritch Moon","Near Mint","English","",1
"83","Woodcutter's Grit","Eldritch Moon","Near Mint","English","",1
"84","Wing Snare","Welcome Deck 2017","Near Mint","English","",1
"85","Wild Wanderer","Kaladesh","Near Mint","English","",1
"86","Weirding Wood","Shadows over Innistrad","Near Mint","English","",1
"87","Waxing Moon","Eldritch Moon","Near Mint","English","",1
"88","Watchful Naga","Amonkhet","Near Mint","English","",1
"89","Watcher in the Web","Shadows over Innistrad","Near Mint","English","",1
"90","Vessel of Nascency","Shadows over Innistrad","Near Mint","English","",1
"91","Ulvenwald Captive","Eldritch Moon","Near Mint","English","",1
"92","Thriving Rhino","Kaladesh","Near Mint","English","",1
"93","Thornhide Wolves","Shadows over Innistrad","Near Mint","English","",1
"94","Territorial Baloth","Battle for Zendikar","Near Mint","English","",1
"95","Take Down","Kaladesh","Near Mint","English","",1
"96","Tajuru Beastmaster","Battle for Zendikar","Near Mint","English","",1
"97","Sylvan Bounty","Conspiracy: Take the Crown","Near Mint","English","",1
"98","Swift Spinner","Eldritch Moon","Near Mint","English","",1
"99","Stoic Builder","Shadows over Innistrad","Near Mint","English","",1
"100","Stinging Shot","Amonkhet","Near Mint","English","",1
"101","Strength in Numbers","Conspiracy: Take the Crown","Near Mint","English","",1
"102","Spidery Grasp","Amonkhet","Near Mint","English","",1
"103","Solitary Hunter","Shadows over Innistrad","Near Mint","English","",1
"104","Snapping Gnarlid","Battle for Zendikar","Near Mint","English","",1
"105","Silkweaver Elite","Aether Revolt","Near Mint","English","",1
"106","Shrill Howler","Eldritch Moon","Near Mint","English","",1
"107","Shed Weakness","Amonkhet","Near Mint","English","",1
"108","Scrounging Bandar","Aether Revolt","Near Mint","English","",1
"109","Savage Punch","Khans of Tarkir","Near Mint","English","",1
"110","Sage of Shaila's Claim","Kaladesh","Near Mint","English","",1
"111","Rootwalla","Welcome Deck 2017","Near Mint","English","",1
"112","Root Out","Shadows over Innistrad","Near Mint","English","",1
"113","Riparian Tiger","Kaladesh","Near Mint","English","",1
"114","Revealing Wind","Dragons of Tarkir","Near Mint","English","",1
"115","Ravenous Leucrocota","Conspiracy: Take the Crown","Near Mint","English","",1
"116","Rabid Bite","Shadows over Innistrad","Near Mint","English","",1
"117","Rabid Bite","Welcome Deck 2017","Near Mint","English","",1
"118","Quilled Wolf","Shadows over Innistrad","Near Mint","English","",1
"119","Quarry Hauler","Amonkhet","Near Mint","English","",1
"120","Prey Upon","Aether Revolt","Near Mint","English","",1
"121","Prey Upon","Eldritch Moon","Near Mint","English","",1
"122","Pouncing Cheetah","Amonkhet","Near Mint","English","",1
"123","Plummet","Battle for Zendikar","Near Mint","English","",1
"124","Oakenform","Welcome Deck 2017","Near Mint","English","",1
"125","Netcaster Spider","Conspiracy: Take the Crown","Near Mint","English","",1
"126","Natural Obsolescence","Aether Revolt","Near Mint","English","",1
"127","Nature's Panoply","Journey into Nyx","Near Mint","English","",2
"128","Naga Vitalist","Amonkhet","Near Mint","English","",1
"129","Moldgraf Scavenger","Shadows over Innistrad","Near Mint","English","",1
"130","Might Beyond Reason","Shadows over Innistrad","Near Mint","English","",2
"131","Lifecraft Cavalry","Aether Revolt","Near Mint","English","",1
"132","Leovold's Operative","Conspiracy: Take the Crown","Near Mint","English","",2
"133","Lead by Example","Oath of the Gatewatch","Near Mint","English","",1
"134","Lay of the Land","Conspiracy: Take the Crown","Near Mint","English","",1
"135","Larger Than Life","Kaladesh","Near Mint","English","",1
"136","Lambholt Pacifist","Shadows over Innistrad","Near Mint","English","",1
"137","Lace with Moonglove","Conspiracy: Take the Crown","Near Mint","English","",1
"138","Kujar Seedsculptor","Kaladesh","Near Mint","English","",1
"139","Intrepid Provisioner","Shadows over Innistrad","Near Mint","English","",1
"140","Initiate's Companion","Amonkhet","Near Mint","English","",1
