"","Count","Name","Expansion","Condition","Language","Finish"
"1",3,"Temple of the False God","Scourge","Near Mint","English","Normal"
"2",1,"Woodland Champion","Core Set 2020","Near Mint","English","Normal"
"3",1,"Wolfrider's Saddle","Core Set 2020","Near Mint","English","Normal"
"4",5,"Wolf's Quarry","Throne of Eldraine","Near Mint","English","Normal"
"5",2,"Wing Snare","Welcome Deck 2017","Near Mint","English","Normal"
"6",7,"Wildwood Tracker","Throne of Eldraine","Near Mint","English","Normal"
"7",1,"Winding Way","Modern Horizons","Near Mint","English","Normal"
"8",2,"Wild Ceratok","Guilds of Ravnica","Near Mint","English","Normal"
"9",5,"Watchful Naga","Amonkhet","Near Mint","English","Normal"
"10",1,"Wardscale Crocodile","War of the Spark","Near Mint","English","Normal"
"11",1,"Wall of Vines","Core 2019","Near Mint","English","Normal"
"12",1,"Wall of Blossoms","Modern Horizons","Near Mint","English","Normal"
"13",1,"Vulpine Goliath","Theros","Near Mint","English","Normal"
"14",1,"Voyaging Satyr","Theros","Near Mint","English","Normal"
"15",1,"Vivien's Grizzly","War of the Spark","Near Mint","English","Normal"
"16",3,"Vigorspore Wurm","Guilds of Ravnica","Near Mint","English","Normal"
"17",1,"Unbridled Growth","Aether Revolt","Near Mint","English","Normal"
"18",1,"Twin-Silk Spider","Modern Horizons","Near Mint","English","Normal"
"19",1,"Trumpeting Herd","Modern Horizons","Near Mint","English","Normal"
"20",4,"Treetop Ambusher","Modern Horizons","Near Mint","English","Normal"
"21",1,"Treefolk Umbra","Modern Horizons","Near Mint","English","Normal"
"22",2,"Trail of Crumbs","Throne of Eldraine","Near Mint","English","Normal"
"23",6,"Tuinvale Treefolk","Throne of Eldraine","Near Mint","English","Normal"
"24",1,"Titanic Growth","Core 2019","Near Mint","English","Normal"
"25",1,"Titanoth Rex","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"26",1,"Thwart the Enemy","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"27",1,"Thundering Ceratok","War of the Spark","Near Mint","English","Normal"
"28",2,"Thornhide Wolves","Core 2019","Near Mint","English","Normal"
"29",2,"Thornado","Modern Horizons","Near Mint","English","Normal"
"30",1,"Territorial Boar","Ravnica Allegiance","Near Mint","English","Normal"
"31",1,"Tenacious Hunter","Hour of Devastation","Near Mint","English","Normal"
"32",2,"Talons of Wildwood","Core 2019","Near Mint","English","Normal"
"33",5,"Tall as a Beanstalk","Throne of Eldraine","Near Mint","English","Normal"
"34",2,"Syr Faren, the Hengehammer","Throne of Eldraine","Near Mint","English","Normal"
"35",1,"Synchronized Strike","Amonkhet","Near Mint","English","Normal"
"36",2,"Sylvan Brushstrider","Ravnica Allegiance","Near Mint","English","Normal"
"37",2,"Sylvan Bounty","Conspiracy: Take the Crown","Near Mint","English","Normal"
"38",2,"Survivors' Bond","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"39",2,"Sudden Spinnerets","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"40",1,"Strength of the Pack","Rivals of Ixalan","Near Mint","English","Normal"
"41",5,"Stinging Shot","Amonkhet","Near Mint","English","Normal"
"42",1,"Steeple Creeper","Ravnica Allegiance","Near Mint","English","Normal"
"43",1,"Steady Aim","War of the Spark","Near Mint","English","Normal"
"44",1,"Sprouting Renewal","Guilds of Ravnica","Near Mint","English","Normal"
"45",3,"Sporecap Spider","Throne of Eldraine","Near Mint","English","Normal"
"46",3,"Springbloom Druid","Modern Horizons","Near Mint","English","Normal"
"47",1,"Spore Frog","Modern Horizons","Near Mint","English","Normal"
"48",4,"Spidery Grasp","Amonkhet","Near Mint","English","Normal"
"49",1,"Soulblade Renewer","Battlebond","Near Mint","English","Normal"
"50",1,"Snarespinner","War of the Spark","Near Mint","English","Normal"
"51",9,"Snake of the Golden Grove","Born of the Gods","Near Mint","English","Normal"
"52",1,"Slice in Twain","Ixalan","Near Mint","English","Normal"
"53",1,"Slaughterhorn","Gatecrash","Near Mint","English","Normal"
"54",1,"Silverback Shaman","Core Set 2020","Near Mint","English","Normal"
"55",2,"Silkweaver Elite","Aether Revolt","Near Mint","English","Normal"
"56",4,"Siege Wurm","Guilds of Ravnica","Near Mint","English","Normal"
"57",2,"Sidewinder Naga","Hour of Devastation","Near Mint","English","Normal"
"58",9,"Shed Weakness","Amonkhet","Near Mint","English","Normal"
"59",4,"Shape the Sands","Dragons of Tarkir","Near Mint","English","Normal"
"60",1,"Sedge Scorpion","Core Set 2020","Near Mint","English","Normal"
"61",1,"Season of Growth","Core Set 2020","Near Mint","English","Normal"
"62",5,"Scrounging Bandar","Aether Revolt","Near Mint","English","Normal"
"63",1,"Scaled Behemoth","Amonkhet","Near Mint","English","Normal"
"64",3,"Savage Swipe","Modern Horizons","Near Mint","English","Normal"
"65",9,"Satyr Wayfinder","Born of the Gods","Near Mint","English","Normal"
"66",1,"Saruli Caretaker","Ravnica Allegiance","Near Mint","English","Normal"
"67",1,"Salt Road Ambushers","Dragons of Tarkir","Near Mint","English","Normal"
"68",2,"Saddled Rimestag","Modern Horizons","Near Mint","English","Normal"
"69",1,"Recollect","Core 2019","Near Mint","English","Normal"
"70",5,"Ruin in Their Wake","Oath of the Gatewatch","Near Mint","English","Normal"
"71",7,"Rosethorn Halberd","Throne of Eldraine","Near Mint","English","Normal"
"72",6,"Rosethorn Acolyte","Throne of Eldraine","Near Mint","English","Normal"
"73",2,"Root Snare","Ravnica Allegiance","Near Mint","English","Normal"
"74",2,"Root Snare","Core 2019","Near Mint","English","Normal"
"75",1,"River Heralds' Boon","Ixalan","Near Mint","English","Normal"
"76",4,"Rime Tender","Modern Horizons","Near Mint","English","Normal"
"77",1,"Rhox Oracle","Core 2019","Near Mint","English","Normal"
"78",2,"Rhonas's Stalwart","Hour of Devastation","Near Mint","English","Normal"
"79",5,"Return to the Earth","Fate Reforged","Near Mint","English","Normal"
"80",5,"Return to Nature","Throne of Eldraine","Near Mint","English","Normal"
"81",1,"Regrowth","Modern Horizons","Near Mint","English","Normal"
"82",4,"Ravenous Daggertooth","Ixalan","Near Mint","English","Normal"
"83",1,"Rampaging Rendhorn","Ravnica Allegiance","Near Mint","English","Normal"
"84",2,"Rampaging Hippo","Hour of Devastation","Near Mint","English","Normal"
"85",1,"Rabid Bite","Core Set 2020","Near Mint","English","Normal"
"86",7,"Quarry Hauler","Amonkhet","Near Mint","English","Normal"
"87",1,"Quarry Beetle","Hour of Devastation","Near Mint","English","Normal"
"88",1,"Primordial Wurm","War of the Spark","Near Mint","English","Normal"
"89",1,"Primordial Wurm","Dominaria","Near Mint","English","Normal"
"90",2,"Prey Upon","Guilds of Ravnica","Near Mint","English","Normal"
"91",7,"Pouncing Cheetah","Amonkhet","Near Mint","English","Normal"
"92",1,"Portcullis Vine","Guilds of Ravnica","Near Mint","English","Normal"
"93",1,"Pollenbright Druid","War of the Spark","Near Mint","English","Normal"
"94",1,"Plummet","Ikoria: Lair of Behemoths","Near Mint","English","Normal"
"95",1,"Plummet","Core 2019","Near Mint","English","Normal"
"96",3,"Plummet","Core Set 2020","Near Mint","English","Normal"
"97",1,"Plummet","Rivals of Ixalan","Near Mint","English","Normal"
"98",1,"Pierce the Sky","Dominaria","Near Mint","English","Normal"
"99",3,"Pause for Reflection","Guilds of Ravnica","Near Mint","English","Normal"
"100",6,"Oashra Cultivator","Amonkhet","Near Mint","English","Normal"
"101",7,"Outmuscle","Throne of Eldraine","Near Mint","English","Normal"
"102",6,"Ornery Kudu","Amonkhet","Near Mint","English","Normal"
"103",1,"Open the Gates","Ravnica Allegiance","Near Mint","English","Normal"
"104",2,"Once and Future","Throne of Eldraine","Near Mint","English","Normal"
"105",2,"Oakhame Adversary","Throne of Eldraine","Near Mint","English","Normal"
"106",4,"Oakenform","Core 2019","Near Mint","English","Normal"
"107",3,"Oasis Ritualist","Hour of Devastation","Near Mint","English","Normal"
"108",1,"Oran-Rief Survivalist","Zendikar","Near Mint","English","Normal"
"109",2,"Ordeal of Nylea","Theros","Near Mint","English","Normal"
"110",7,"Nyxborn Wolf","Born of the Gods","Near Mint","English","Normal"
"111",1,"Nissa's Triumph","War of the Spark","Near Mint","English","Normal"
"112",1,"Nissa's Expedition","Magic 2015 Core Set","Near Mint","English","Normal"
"113",2,"New Horizons","War of the Spark","Near Mint","English","Normal"
