,Name,Rarity,Quantity,Price,Expansion,Finish,Language,Condition
8788,LILIANA DREADHORDE GENERAL (JPN ALTERNATE ART),MYTHIC,3.0,1900.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
11689,"HIDETSUGU, DEVOURING CHAOS (NEON RED)",RARE,2.0,1000.0,KAMIGAWA NEON DYNASTY,FOIL,ENGLISH,NEAR MINT
2606,SOL RING,S,6.0,600.0,KALADESH INVENTIONS,FOIL,ENGLISH,NEAR MINT
5891,PANGLACIAL WURM,RARE,2.0,600.0,COLDSNAP,FOIL,ENGLISH,NEAR MINT
2592,MANA CRYPT,S,4.0,525.0,KALADESH INVENTIONS,FOIL,ENGLISH,NEAR MINT
8797,NARSET PARTER OF VEILS (JPN ALTERNATE ART),UNCOMMON,3.0,375.0,WAR OF THE SPARK,FOIL,JAPANESE,NEAR MINT
6186,TARMOGOYF,RARE,2.0,350.0,FUTURESIGHT,FOIL,ENGLISH,NEAR MINT
2593,MANA VAULT,S,4.0,325.0,KALADESH INVENTIONS,FOIL,ENGLISH,NEAR MINT
2508,HALLOWED FOUNTAIN,RARE,2.0,300.0,DISSENSION,FOIL,ENGLISH,NEAR MINT
2591,LOTUS PETAL,S,4.0,300.0,KALADESH INVENTIONS,FOIL,ENGLISH,NEAR MINT
7964,"JACE, THE MIND SCULPTOR",MYTHIC,2.0,275.0,WORLDWAKE,FOIL,ENGLISH,NEAR MINT
2614,SWORD OF FEAST AND FAMINE,S,2.0,250.0,KALADESH INVENTIONS,FOIL,ENGLISH,NEAR MINT
2578,CHROME MOX,S,4.0,240.0,KALADESH INVENTIONS,FOIL,ENGLISH,NEAR MINT
10595,DEMONIC TUTOR (JP ALT ART),MYTHIC,8.0,230.0,STRIXHAVEN MYSTICAL ARCHIVE,FOIL,JAPANESE,NEAR MINT
975,"OBORO, PALACE IN THE CLOUDS",RARE,2.0,225.0,SAVIORS OF KAMIGAWA,FOIL,ENGLISH,NEAR MINT
