,Name,Rarity,Quantity,Price,Language,Finish,Condition,Expansion
5,ADARKAR WASTES,RARE,3.0,13.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
6,BLOOD MOON,RARE,2.0,16.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
7,CAVES OF KOILOS,RARE,1.0,1.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
8,DEFENSE GRID,RARE,2.0,21.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
9,DIABOLIC TUTOR,UNCOMMON,1.0,1.29,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
10,EARLY HARVEST,RARE,1.0,2.49,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
11,EVACUATION,RARE,3.0,4.88,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
12,EXHAUSTION,UNCOMMON,1.0,23.99,ENGLISH,FOIL,NEAR MINT,9TH EDITION
13,FELLWAR STONE,UNCOMMON,3.0,2.49,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
14,FURNACE OF RATH,RARE,2.0,7.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
15,GIFT OF ESTATES,UNCOMMON,4.0,2.49,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
16,GRAVE PACT,RARE,1.0,36.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
17,HOWLING MINE,RARE,3.0,8.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
18,HYPNOTIC SPECTER,RARE,4.0,2.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
19,KARPLUSAN FOREST,RARE,1.0,5.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
20,LLANOWAR WASTES,RARE,6.0,1.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
21,LORD OF THE UNDEAD,RARE,3.0,22.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
22,MANA LEAK,COMMON,2.0,8.99,ENGLISH,FOIL,NEAR MINT,9TH EDITION
23,MINDSLICER,RARE,6.0,8.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
24,SHIVAN DRAGON,RARE,1.0,59.99,ENGLISH,FOIL,NEAR MINT,9TH EDITION
25,SLEIGHT OF HAND,COMMON,4.0,12.99,ENGLISH,FOIL,NEAR MINT,9TH EDITION
26,STORY CIRCLE,RARE,1.0,2.99,ENGLISH,FOIL,NEAR MINT,9TH EDITION
27,SULFUROUS SPRINGS,RARE,2.0,12.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
28,SUMMER BLOOM,UNCOMMON,3.0,3.89,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
29,TRADE ROUTES,RARE,2.0,4.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
30,URZA'S MINE,UNCOMMON,2.0,1.49,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
31,URZA'S POWER PLANT,UNCOMMON,1.0,1.49,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
32,URZA'S POWER PLANT,UNCOMMON,2.0,24.99,ENGLISH,FOIL,NEAR MINT,9TH EDITION
33,URZA'S TOWER,UNCOMMON,4.0,1.49,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
34,UTOPIA TREE,RARE,2.0,3.29,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
35,WEIRD HARVEST,RARE,1.0,2.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
36,YAVIMAYA COAST,RARE,1.0,1.99,ENGLISH,NORMAL,NEAR MINT,9TH EDITION
37,BEDLAM REVELER,,1.0,3.59,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
38,BEDLAM REVELER,,14.0,0.88,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
39,COLLECTIVE BRUTALITY,,7.0,16.88,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
40,CRYPTBREAKER,,2.0,7.29,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
41,DARK SALVATION,,1.0,0.99,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
42,DECIMATOR OF THE PROVINCES,,3.0,1.49,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
43,DEPLOY THE GATEWATCH,,1.0,0.49,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
44,DOCENT OF PERFECTION,,5.0,2.88,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
45,"EMRAKUL, THE PROMISED END",,1.0,109.99,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
46,GISA AND GERALF,,4.0,1.79,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
47,"GISELA, THE BROKEN BLADE",,1.0,24.88,ENGLISH,NORMAL,NEAR MINT,ELDRITCH MOON
48,GRIM FLAYER,,1.0,8.99,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
49,HARMLESS OFFERING,,1.0,3.49,ENGLISH,FOIL,NEAR MINT,ELDRITCH MOON
