Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified
"1","1","Golgari Keyrune","Return to Ravnica","Near Mint","English","foil","","2022-02-27 02:37:14.370134"
"1","1","Demonmail Hauberk","Innistrad","Near Mint","English","foil","","2022-02-27 02:37:14.359938"
"1","1","Kheru Bloodsucker","Khans of Tarkir","Near Mint","English","foil","","2022-02-27 02:37:14.305571"
"1","1","Murderer's Axe","Shadows over Innistrad","Near Mint","English","foil","","2022-02-27 02:37:14.281090"
"1","1","Warden of Geometries","Oath of the Gatewatch","Near Mint","English","foil","","2022-02-27 02:37:14.271462"
"1","1","Tapestry of the Ages","Dragons of Tarkir","Near Mint","English","foil","","2022-02-27 02:37:14.261853"
"1","1","Hot Soup","Magic 2015 Core Set","Near Mint","English","foil","","2022-02-27 02:37:14.251790"
"4","4","Swiftwater Cliffs","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:14.241915"
"2","2","Diabolic Tutor","Magic 2014 Core Set","Near Mint","English","foil","","2022-02-27 02:37:14.230851"
"4","4","Rugged Highlands","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:14.219045"
"3","3","Thornwood Falls","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:14.196135"
"4","4","Scoured Barrens","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:14.157232"
"1","1","Blightspeaker","Planar Chaos","Near Mint","English","foil","","2022-02-27 02:37:14.136363"
"1","1","Qarsi High Priest","Fate Reforged","Near Mint","English","foil","","2022-02-27 02:37:14.126740"
"1","1","Prismatic Lens","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:14.117062"
"4","4","Wind-Scarred Crag","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:14.105966"
"1","1","Rogue's Passage","Conspiracy: Take the Crown","Near Mint","English","foil","","2022-02-27 02:37:14.083283"
"1","1","Gruul Keyrune","Gatecrash","Near Mint","English","foil","","2022-02-27 02:37:14.050335"
"1","1","Myr Retriever","Modern Masters","Good (Lightly Played)","English","foil","","2022-02-27 02:37:14.040175"
"1","1","Leonin Scimitar","Mirrodin","Near Mint","English","foil","","2022-02-27 02:37:14.027689"
"2","2","Runed Servitor","Modern Masters 2015 Edition","Near Mint","English","foil","","2022-02-27 02:37:14.017103"
"1","1","Jar of Eyeballs","Dark Ascension","Near Mint","English","foil","","2022-02-27 02:37:14.008993"
"1","1","Planar Guide","Legions","Good (Lightly Played)","English","foil","","2022-02-27 02:37:13.999232"
"1","1","Moonsilver Spear","Prerelease Events","Near Mint","English","foil","","2022-02-27 02:37:13.988166"
"4","4","Coiling Oracle","Modern Masters 2017 Edition","Near Mint","English","foil","","2022-02-27 02:37:13.978065"
"4","4","Gruul Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil","","2022-02-27 02:37:13.967952"
"5","5","Bloodfell Caves","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:13.959431"
"2","2","Blossoming Sands","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:13.949733"
"1","1","Honed Khopesh","Amonkhet","Near Mint","English","foil","","2022-02-27 02:37:13.939455"
"3","3","Izzet Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil","","2022-02-27 02:37:13.925110"
"1","1","Blood Seeker","Magic 2012","Near Mint","English","foil","","2022-02-27 02:37:13.895453"
"5","5","Golgari Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil","","2022-02-27 02:37:13.882601"
"2","2","Dunes of the Dead","Hour of Devastation","Near Mint","English","foil","","2022-02-27 02:37:13.849387"
"1","1","Blightspeaker","Modern Masters","Near Mint","English","foil","","2022-02-27 02:37:13.841546"
"1","1","Kite Shield","Magic 2012","Near Mint","English","foil","","2022-02-27 02:37:13.829534"
"1","1","Spiketail Hatchling","Prophecy","Near Mint","English","foil","","2022-02-27 02:37:13.820621"
"1","1","Encroaching Wastes","Magic 2014 Core Set","Near Mint","English","foil","","2022-02-27 02:37:13.804881"
"4","4","Selesnya Guildgate","Modern Masters 2017 Edition","Near Mint","English","foil","","2022-02-27 02:37:13.795792"
"2","2","Rakdos Keyrune","Return to Ravnica","Near Mint","English","foil","","2022-02-27 02:37:13.787544"
"1","1","Sram, Senior Edificer","Prerelease Events","Near Mint","English","foil","","2022-02-27 02:37:13.779334"
"1","1","Sigil of Distinction","Shards of Alara","Near Mint","English","foil","","2022-02-27 02:37:13.770383"
"1","1","Etched Oracle","Modern Masters","Near Mint","English","foil","","2022-02-27 02:37:13.760559"
"1","1","Etched Oracle","Modern Masters 2015 Edition","Near Mint","English","foil","","2022-02-27 02:37:13.749804"
"1","1","Platinum Angel","From the Vault: Angels","Near Mint","English","foil","","2022-02-27 02:37:13.740550"
"1","1","Blinkmoth Urn","Mirrodin","Good (Lightly Played)","English","foil","","2022-02-27 02:37:13.729322"
"1","1","Malakir Bloodwitch","Zendikar","Near Mint","English","foil","","2022-02-27 02:37:13.718989"
"1","1","Maze's End","Prerelease Events","Near Mint","English","foil","","2022-02-27 02:37:13.709344"
"1","1","Titan's Presence","Battle for Zendikar","Near Mint","English","foil","","2022-02-27 02:37:13.699927"
"4","4","Vampire Lacerator","Masters 25","Near Mint","English","foil","","2022-02-27 02:37:13.690331"
"1","1","Banewhip Punisher","Hour of Devastation","Near Mint","English","foil","","2022-02-27 02:37:13.681991"
"1","1","Forsake the Worldly","Amonkhet","Near Mint","English","foil","","2022-02-27 02:37:13.673346"
"1","1","Havengul Vampire","Conspiracy: Take the Crown","Near Mint","English","foil","","2022-02-27 02:37:13.664984"
"1","1","Mercurial Geists","Eldritch Moon","Near Mint","English","foil","","2022-02-27 02:37:13.654203"
"1","1","Prismatic Lens","Eternal Masters","Near Mint","English","","","2022-02-27 02:37:13.646039"
"1","1","Haunted Fengraf","Masters 25","Near Mint","English","foil","","2022-02-27 02:37:13.637489"
"6","6","Mind Stone","Iconic Masters","Near Mint","English","foil","","2022-02-27 02:37:13.627351"
"4","4","Fossil Find","Shadowmoor","Near Mint","English","foil","","2022-02-27 02:37:13.609379"
"4","4","Strangleroot Geist","Dark Ascension","Near Mint","English","foil","","2022-02-27 02:37:13.576087"
"4","4","Rancor","Eternal Masters","Near Mint","English","foil","","2022-02-27 02:37:13.550430"
"4","4","Hornet Sting","Magic 2011","Near Mint","English","foil","","2022-02-27 02:37:13.532425"
"4","4","Prey Upon","Conspiracy: Take the Crown","Near Mint","English","foil","","2022-02-27 02:37:13.499373"
"4","4","Dryad Militant","Return to Ravnica","Near Mint","English","foil","","2022-02-27 02:37:13.462557"
"1","1","Kalonian Tusker","Magic 2014 Core Set","Near Mint","English","foil","","2022-02-27 02:37:13.446700"
"4","4","Prying Blade","Ixalan","Near Mint","English","foil","","2022-02-27 02:37:13.400674"
"1","1","Sliver Hive","Magic 2015 Core Set","Near Mint","English","foil","","2022-02-27 02:37:13.393007"
"1","1","Anticipate","Dragons of Tarkir","Near Mint","English","foil","","2022-02-27 02:37:13.384186"
"3","3","Natural State","Oath of the Gatewatch","Near Mint","English","foil","","2022-02-27 02:37:13.374912"
"4","4","Feed the Clan","Khans of Tarkir","Near Mint","English","foil","","2022-02-27 02:37:13.346700"
"1","1","Spell Burst","Time Spiral ""Timeshifted""","Good (Lightly Played)","English","foil","","2022-02-27 02:37:13.321079"
"1","1","Sword of Vengeance","Magic 2011","Near Mint","English","foil","","2022-02-27 02:37:13.311168"
"4","4","Lotleth Troll","Return to Ravnica","Near Mint","English","foil","","2022-02-27 02:37:13.299712"
"1","1","Shrine of the Forsaken Gods","Battle for Zendikar","Near Mint","English","foil","","2022-02-27 02:37:13.263876"
"2","2","Avatar of the Resolute","Dragons of Tarkir","Near Mint","English","foil","","2022-02-27 02:37:13.253815"
"2","2","Vines of Vastwood","Modern Masters 2015 Edition","Good (Lightly Played)","English","foil","","2022-02-27 02:37:13.227382"
"4","4","Lush Growth","Shards of Alara","Near Mint","English","foil","","2022-02-27 02:37:13.218273"
"1","1","Foundry Inspector","Kaladesh","Near Mint","English","foil","","2022-02-27 02:37:13.161418"
"1","1","Unravel the Aether","Born of the Gods","Near Mint","English","foil","","2022-02-27 02:37:13.142046"
"1","1","Experiment One","Gatecrash","Near Mint","English","foil","","2022-02-27 02:37:13.132559"
"1","1","Grasping Dunes","Amonkhet","Near Mint","English","foil","","2022-02-27 02:37:13.111103"
"1","1","Kefnet the Mindful","Amonkhet","Near Mint","English","foil","","2022-02-27 02:37:13.102808"
"1","1","Knight Ally Token","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:13.092762"
"4","4","Woodland Patrol","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:13.068703"
"2","2","Woodcutter's Grit","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:13.041373"
"2","2","Wing Snare","Welcome Deck 2017","Near Mint","English","","","2022-02-27 02:37:13.032363"
"10","10","Wild Wanderer","Kaladesh","Near Mint","English","","","2022-02-27 02:37:13.024064"
"1","1","Weirding Wood","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:13.006381"
"4","4","Waxing Moon","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:12.997139"
"5","5","Watchful Naga","Amonkhet","Near Mint","English","","","2022-02-27 02:37:12.977037"
"8","8","Watcher in the Web","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.943033"
"8","8","Vessel of Nascency","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.923639"
"1","1","Ulvenwald Captive","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:12.878480"
"1","1","Thriving Rhino","Kaladesh","Near Mint","English","","","2022-02-27 02:37:12.868459"
"9","9","Thornhide Wolves","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.858829"
"2","2","Territorial Baloth","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:12.849275"
"4","4","Take Down","Kaladesh","Near Mint","English","","","2022-02-27 02:37:12.841228"
"2","2","Tajuru Beastmaster","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:12.833198"
"2","2","Sylvan Bounty","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:12.824716"
"5","5","Swift Spinner","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:12.814818"
"7","7","Stoic Builder","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.805153"
"5","5","Stinging Shot","Amonkhet","Near Mint","English","","","2022-02-27 02:37:12.796833"
"1","1","Strength in Numbers","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:12.771916"
"4","4","Spidery Grasp","Amonkhet","Near Mint","English","","","2022-02-27 02:37:12.761847"
"5","5","Solitary Hunter","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.736227"
"4","4","Snapping Gnarlid","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:12.728013"
"2","2","Silkweaver Elite","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:12.719414"
"2","2","Shrill Howler","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:12.711021"
"9","9","Shed Weakness","Amonkhet","Near Mint","English","","","2022-02-27 02:37:12.694572"
"5","5","Scrounging Bandar","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:12.660959"
"6","6","Savage Punch","Khans of Tarkir","Near Mint","English","","","2022-02-27 02:37:12.643442"
"5","5","Sage of Shaila's Claim","Kaladesh","Near Mint","English","","","2022-02-27 02:37:12.634807"
"2","2","Rootwalla","Welcome Deck 2017","Near Mint","English","","","2022-02-27 02:37:12.609920"
"6","6","Root Out","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.591179"
"8","8","Riparian Tiger","Kaladesh","Near Mint","English","","","2022-02-27 02:37:12.574594"
"3","3","Revealing Wind","Dragons of Tarkir","Near Mint","English","","","2022-02-27 02:37:12.566177"
"1","1","Ravenous Leucrocota","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:12.558259"
"7","7","Rabid Bite","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.549354"
"1","1","Rabid Bite","Welcome Deck 2017","Near Mint","English","","","2022-02-27 02:37:12.540766"
"7","7","Quilled Wolf","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.522886"
"7","7","Quarry Hauler","Amonkhet","Near Mint","English","","","2022-02-27 02:37:12.497449"
"4","4","Prey Upon","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:12.480991"
"4","4","Prey Upon","Eldritch Moon","Near Mint","English","","","2022-02-27 02:37:12.446876"
"7","7","Pouncing Cheetah","Amonkhet","Near Mint","English","","","2022-02-27 02:37:12.420721"
"4","4","Plummet","Battle for Zendikar","Near Mint","English","","","2022-02-27 02:37:12.395756"
"1","1","Oakenform","Welcome Deck 2017","Near Mint","English","","","2022-02-27 02:37:12.275487"
"2","2","Netcaster Spider","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:12.264059"
"3","3","Natural Obsolescence","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:12.242458"
"4","4","Nature's Panoply","Journey into Nyx","Near Mint","English","","","2022-02-27 02:37:12.232306"
"5","5","Naga Vitalist","Amonkhet","Near Mint","English","","","2022-02-27 02:37:12.221549"
"8","8","Moldgraf Scavenger","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.178275"
"3","3","Might Beyond Reason","Shadows over Innistrad","Near Mint","English","","","2022-02-27 02:37:12.150834"
"4","4","Lifecraft Cavalry","Aether Revolt","Near Mint","English","","","2022-02-27 02:37:12.133572"
"2","2","Leovold's Operative","Conspiracy: Take the Crown","Near Mint","English","","","2022-02-27 02:37:12.108120"
"13","13","Lead by Example","Oath of the Gatewatch","Near Mint","English","","","2022-02-27 02:37:12.087766"
