"","name","setCode","rarity"
"1","Ancestor's Chosen","10E","uncommon"
"2","Angel of Mercy","10E","uncommon"
"3","Angelic Blessing","10E","common"
"4","Angelic Chorus","10E","rare"
"5","Angelic Wall","10E","common"
"6","Aura of Silence","10E","uncommon"
"7","Aven Cloudchaser","10E","common"
"8","Ballista Squad","10E","uncommon"
"9","Bandage","10E","common"
"10","Beacon of Immortality","10E","rare"
"11","Benalish Knight","10E","common"
"12","Cho-Manno, Revolutionary","10E","rare"
"13","Condemn","10E","uncommon"
"14","Demystify","10E","common"
"15","Field Marshal","10E","rare"
"16","Ghost Warden","10E","common"
"17","Glorious Anthem","10E","rare"
"18","Hail of Arrows","10E","uncommon"
"19","Heart of Light","10E","common"
"20","High Ground","10E","uncommon"
"21","Holy Day","10E","common"
"22","Holy Strength","10E","common"
"23","Honor Guard","10E","common"
"24","Icatian Priest","10E","uncommon"
"25","Kjeldoran Royal Guard","10E","rare"
"26","Loxodon Mystic","10E","common"
"27","Loyal Sentry","10E","rare"
"28","Luminesce","10E","uncommon"
"29","Mobilization","10E","rare"
"30","Nomad Mythmaker","10E","rare"
"31","Pacifism","10E","common"
"32","Paladin en-Vec","10E","rare"
"33","Pariah","10E","rare"
"34","Reviving Dose","10E","common"
"35","Reya Dawnbringer","10E","rare"
"36","Righteousness","10E","rare"
"37","Rule of Law","10E","uncommon"
"38","Samite Healer","10E","common"
"39","Serra Angel","10E","rare"
"40","Serra's Embrace","10E","uncommon"
"41","Skyhunter Patrol","10E","common"
"42","Skyhunter Prowler","10E","common"
"43","Skyhunter Skirmisher","10E","uncommon"
"44","Soul Warden","10E","uncommon"
"45","Spirit Link","10E","uncommon"
"46","Spirit Weaver","10E","uncommon"
"47","Starlight Invoker","10E","uncommon"
"48","Steadfast Guard","10E","common"
"49","Story Circle","10E","rare"
"50","Suntail Hawk","10E","common"
"51","Tempest of Light","10E","uncommon"
"52","Treasure Hunter","10E","uncommon"
"53","True Believer","10E","rare"
"54","Tundra Wolves","10E","common"
"55","Venerable Monk","10E","common"
"56","Voice of All","10E","rare"
"57","Wall of Swords","10E","uncommon"
"58","Warrior's Honor","10E","common"
"59","Wild Griffin","10E","common"
"60","Windborn Muse","10E","rare"
"61","Wrath of God","10E","rare"
"62","Youthful Knight","10E","common"
"63","Academy Researchers","10E","uncommon"
"64","Air Elemental","10E","uncommon"
"65","Ambassador Laquatus","10E","rare"
"66","Arcanis the Omnipotent","10E","rare"
"67","Aura Graft","10E","uncommon"
"68","Aven Fisher","10E","common"
"69","Aven Windreader","10E","common"
"70","Boomerang","10E","common"
"71","Cancel","10E","common"
"72","Cephalid Constable","10E","rare"
"73","Clone","10E","rare"
"74","Cloud Elemental","10E","common"
"75","Cloud Sprite","10E","common"
"76","Counsel of the Soratami","10E","common"
"77","Crafty Pathmage","10E","common"
"78","Dehydration","10E","common"
"79","Deluge","10E","uncommon"
"80","Denizen of the Deep","10E","rare"
"81","Discombobulate","10E","uncommon"
"82","Dreamborn Muse","10E","rare"
"83","Evacuation","10E","rare"
"84","Flashfreeze","10E","uncommon"
"85","Fog Elemental","10E","uncommon"
"86","Fugitive Wizard","10E","common"
"87","Horseshoe Crab","10E","common"
"88","Hurkyl's Recall","10E","rare"
"89","Lumengrid Warden","10E","common"
"90","Mahamoti Djinn","10E","rare"
"91","March of the Machines","10E","rare"
"92","Merfolk Looter","10E","common"
"93","Mind Bend","10E","rare"
"94","Peek","10E","common"
"95","Persuasion","10E","uncommon"
"96","Phantom Warrior","10E","uncommon"
"97","Plagiarize","10E","rare"
"98","Puppeteer","10E","uncommon"
"99","Reminisce","10E","uncommon"
"100","Remove Soul","10E","common"
"101","Robe of Mirrors","10E","common"
"102","Rootwater Commando","10E","common"
"103","Rootwater Matriarch","10E","rare"
"104","Sage Owl","10E","common"
"105","Scalpelexis","10E","rare"
"106","Sea Monster","10E","common"
"107","Shimmering Wings","10E","common"
"108","Sift","10E","common"
"109","Sky Weaver","10E","uncommon"
"110","Snapping Drake","10E","common"
"111","Spiketail Hatchling","10E","uncommon"
"112","Sunken Hope","10E","rare"
"113","Telepathy","10E","uncommon"
"114","Telling Time","10E","uncommon"
"115","Thieving Magpie","10E","uncommon"
"116","Tidings","10E","uncommon"
