,Name,Number,Rarity,Details,Quantity,Price,Junk,set
0,"Elspeth, Sun's Champion",Mythic,English,Foil,Near Mint,6,11.99,http://shop.strikezoneonline.com/Category/Duel_Deck_Elspeth_VS_Kiora.html
1,,Mother of Runes,Uncommon,English,Normal,Near Mint,1,http://shop.strikezoneonline.com/Category/Duel_Deck_Elspeth_VS_Kiora.html
2,8.99,,,,,,,http://shop.strikezoneonline.com/Category/Duel_Deck_Elspeth_VS_Kiora.html
3,Knight Exemplar,Rare,English,Normal,Near Mint,2,9.99,http://shop.strikezoneonline.com/Category/Duel_Deck_Knights_VS_Dragons.html
4,,Knight of the Reliquary,Mythic,English,Foil,Near Mint,2,http://shop.strikezoneonline.com/Category/Duel_Deck_Knights_VS_Dragons.html
5,2.99,,Knight of the White Orchid,Rare,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/Duel_Deck_Knights_VS_Dragons.html
6,3,2.99,,,,,,http://shop.strikezoneonline.com/Category/Duel_Deck_Knights_VS_Dragons.html
7,Adarkar Wastes,Rare,English,Normal,Near Mint,3,13.99,http://shop.strikezoneonline.com/Category/9th_Edition.html
8,,Blood Moon,Rare,English,Normal,Near Mint,2,http://shop.strikezoneonline.com/Category/9th_Edition.html
9,16.99,,Caves of Koilos,Rare,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/9th_Edition.html
10,1,1.99,,Defense Grid,Rare,English,Normal,http://shop.strikezoneonline.com/Category/9th_Edition.html
11,Near Mint,2,21.99,,Diabolic Tutor,Uncommon,English,http://shop.strikezoneonline.com/Category/9th_Edition.html
12,Normal,Near Mint,1,1.29,,Early Harvest,Rare,http://shop.strikezoneonline.com/Category/9th_Edition.html
13,English,Normal,Near Mint,1,2.49,,Evacuation,http://shop.strikezoneonline.com/Category/9th_Edition.html
14,Rare,English,Normal,Near Mint,3,4.88,,http://shop.strikezoneonline.com/Category/9th_Edition.html
15,Exhaustion,Uncommon,English,Foil,Near Mint,1,23.99,http://shop.strikezoneonline.com/Category/9th_Edition.html
16,,Fellwar Stone,Uncommon,English,Normal,Near Mint,3,http://shop.strikezoneonline.com/Category/9th_Edition.html
17,2.49,,Furnace of Rath,Rare,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/9th_Edition.html
18,2,7.99,,Gift of Estates,Uncommon,English,Normal,http://shop.strikezoneonline.com/Category/9th_Edition.html
19,Near Mint,4,2.49,,Grave Pact,Rare,English,http://shop.strikezoneonline.com/Category/9th_Edition.html
20,Normal,Near Mint,1,36.99,,Howling Mine,Rare,http://shop.strikezoneonline.com/Category/9th_Edition.html
21,English,Normal,Near Mint,3,8.99,,Hypnotic Specter,http://shop.strikezoneonline.com/Category/9th_Edition.html
22,Rare,English,Normal,Near Mint,4,2.99,,http://shop.strikezoneonline.com/Category/9th_Edition.html
23,Karplusan Forest,Rare,English,Normal,Near Mint,1,5.99,http://shop.strikezoneonline.com/Category/9th_Edition.html
24,,Llanowar Wastes,Rare,English,Normal,Near Mint,6,http://shop.strikezoneonline.com/Category/9th_Edition.html
25,1.99,,Lord of the Undead,Rare,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/9th_Edition.html
26,3,22.99,,Mana Leak,Common,English,Foil,http://shop.strikezoneonline.com/Category/9th_Edition.html
27,Near Mint,2,8.99,,Mindslicer,Rare,English,http://shop.strikezoneonline.com/Category/9th_Edition.html
28,Normal,Near Mint,6,8.99,,Shivan Dragon,Rare,http://shop.strikezoneonline.com/Category/9th_Edition.html
29,English,Foil,Near Mint,1,59.99,,Sleight of Hand,http://shop.strikezoneonline.com/Category/9th_Edition.html
30,Common,English,Foil,Near Mint,4,12.99,,http://shop.strikezoneonline.com/Category/9th_Edition.html
31,Story Circle,Rare,English,Foil,Near Mint,1,2.99,http://shop.strikezoneonline.com/Category/9th_Edition.html
32,,Sulfurous Springs,Rare,English,Normal,Near Mint,2,http://shop.strikezoneonline.com/Category/9th_Edition.html
33,12.99,,Summer Bloom,Uncommon,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/9th_Edition.html
34,3,3.89,,Trade Routes,Rare,English,Normal,http://shop.strikezoneonline.com/Category/9th_Edition.html
35,Near Mint,2,4.99,,Urza's Mine,Uncommon,English,http://shop.strikezoneonline.com/Category/9th_Edition.html
36,Normal,Near Mint,2,1.49,,Urza's Power Plant,Uncommon,http://shop.strikezoneonline.com/Category/9th_Edition.html
37,English,Normal,Near Mint,1,1.49,,Urza's Power Plant,http://shop.strikezoneonline.com/Category/9th_Edition.html
38,Uncommon,English,Foil,Near Mint,2,24.99,,http://shop.strikezoneonline.com/Category/9th_Edition.html
39,Urza's Tower,Uncommon,English,Normal,Near Mint,4,1.49,http://shop.strikezoneonline.com/Category/9th_Edition.html
40,,Utopia Tree,Rare,English,Normal,Near Mint,2,http://shop.strikezoneonline.com/Category/9th_Edition.html
41,3.29,,Weird Harvest,Rare,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/9th_Edition.html
42,1,2.99,,Yavimaya Coast,Rare,English,Normal,http://shop.strikezoneonline.com/Category/9th_Edition.html
43,Near Mint,1,1.99,,,,,http://shop.strikezoneonline.com/Category/9th_Edition.html
44,Bedlam Reveler,,English,Foil,Near Mint,1,3.59,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
45,,Bedlam Reveler,,English,Normal,Near Mint,14,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
46,0.88,,Collective Brutality,,English,Foil,Near Mint,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
47,7,16.88,,Cryptbreaker,,English,Normal,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
48,Near Mint,2,7.29,,Dark Salvation,,English,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
49,Normal,Near Mint,1,0.99,,Decimator of the Provinces,,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
50,English,Normal,Near Mint,3,1.49,,Deploy the Gatewatch,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
51,,English,Normal,Near Mint,1,0.49,,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
52,Docent of Perfection,,English,Normal,Near Mint,5,2.88,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
53,,"Emrakul, the Promised End",,English,Foil,Near Mint,1,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
54,109.99,,Gisa and Geralf,,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
55,4,1.79,,"Gisela, the Broken Blade",,English,Normal,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
56,Near Mint,1,24.88,,Grim Flayer,,English,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
57,Foil,Near Mint,1,8.99,,Harmless Offering,,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
58,English,Foil,Near Mint,1,3.49,,"Ishkanah, Grafwidow",http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
59,,English,Normal,Near Mint,10,1.29,,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
60,"Liliana, the Last Hope",,English,Foil,Near Mint,2,49.99,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
61,,"Liliana, the Last Hope",,English,Normal,Near Mint,2,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
62,19.99,,Mausoleum Wanderer,,English,Normal,Near Mint,http://shop.strikezoneonline.com/Category/Eldritch_Moon.html
