,Name,Number,Rarity,Details,Quantity,Price,Language,Finish,Condition,Expansion
5,Adarkar Wastes,,Rare,,3.0,13.99,English,Normal,NEAR MINT,9th Edition
6,Blood Moon,,Rare,,2.0,16.99,English,Normal,NEAR MINT,9th Edition
7,Caves of Koilos,,Rare,,1.0,1.99,English,Normal,NEAR MINT,9th Edition
8,Defense Grid,,Rare,,2.0,21.99,English,Normal,NEAR MINT,9th Edition
9,Diabolic Tutor,,Uncommon,,1.0,1.29,English,Normal,NEAR MINT,9th Edition
10,Early Harvest,,Rare,,1.0,2.49,English,Normal,NEAR MINT,9th Edition
11,Evacuation,,Rare,,3.0,4.88,English,Normal,NEAR MINT,9th Edition
12,Exhaustion,,Uncommon,,1.0,23.99,English,Foil,NEAR MINT,9th Edition
13,Fellwar Stone,,Uncommon,,3.0,2.49,English,Normal,NEAR MINT,9th Edition
14,Furnace of Rath,,Rare,,2.0,7.99,English,Normal,NEAR MINT,9th Edition
15,Gift of Estates,,Uncommon,,4.0,2.49,English,Normal,NEAR MINT,9th Edition
16,Grave Pact,,Rare,,1.0,36.99,English,Normal,NEAR MINT,9th Edition
17,Howling Mine,,Rare,,3.0,8.99,English,Normal,NEAR MINT,9th Edition
18,Hypnotic Specter,,Rare,,4.0,2.99,English,Normal,NEAR MINT,9th Edition
19,Karplusan Forest,,Rare,,1.0,5.99,English,Normal,NEAR MINT,9th Edition
20,Llanowar Wastes,,Rare,,6.0,1.99,English,Normal,NEAR MINT,9th Edition
21,Lord of the Undead,,Rare,,3.0,22.99,English,Normal,NEAR MINT,9th Edition
22,Mana Leak,,Common,,2.0,8.99,English,Foil,NEAR MINT,9th Edition
23,Mindslicer,,Rare,,6.0,8.99,English,Normal,NEAR MINT,9th Edition
24,Shivan Dragon,,Rare,,1.0,59.99,English,Foil,NEAR MINT,9th Edition
25,Sleight of Hand,,Common,,4.0,12.99,English,Foil,NEAR MINT,9th Edition
26,Story Circle,,Rare,,1.0,2.99,English,Foil,NEAR MINT,9th Edition
27,Sulfurous Springs,,Rare,,2.0,12.99,English,Normal,NEAR MINT,9th Edition
28,Summer Bloom,,Uncommon,,3.0,3.89,English,Normal,NEAR MINT,9th Edition
29,Trade Routes,,Rare,,2.0,4.99,English,Normal,NEAR MINT,9th Edition
30,Urza's Mine,,Uncommon,,2.0,1.49,English,Normal,NEAR MINT,9th Edition
31,Urza's Power Plant,,Uncommon,,1.0,1.49,English,Normal,NEAR MINT,9th Edition
32,Urza's Power Plant,,Uncommon,,2.0,24.99,English,Foil,NEAR MINT,9th Edition
33,Urza's Tower,,Uncommon,,4.0,1.49,English,Normal,NEAR MINT,9th Edition
34,Utopia Tree,,Rare,,2.0,3.29,English,Normal,NEAR MINT,9th Edition
35,Weird Harvest,,Rare,,1.0,2.99,English,Normal,NEAR MINT,9th Edition
36,Yavimaya Coast,,Rare,,1.0,1.99,English,Normal,NEAR MINT,9th Edition
37,Bedlam Reveler,,,,1.0,3.59,English,Foil,NEAR MINT,Eldritch Moon
38,Bedlam Reveler,,,,14.0,0.88,English,Normal,NEAR MINT,Eldritch Moon
39,Collective Brutality,,,,7.0,16.88,English,Foil,NEAR MINT,Eldritch Moon
40,Cryptbreaker,,,,2.0,7.29,English,Normal,NEAR MINT,Eldritch Moon
41,Dark Salvation,,,,1.0,0.99,English,Normal,NEAR MINT,Eldritch Moon
42,Decimator of the Provinces,,,,3.0,1.49,English,Normal,NEAR MINT,Eldritch Moon
43,Deploy the Gatewatch,,,,1.0,0.49,English,Normal,NEAR MINT,Eldritch Moon
44,Docent of Perfection,,,,5.0,2.88,English,Normal,NEAR MINT,Eldritch Moon
45,"Emrakul, the Promised End",,,,1.0,109.99,English,Foil,NEAR MINT,Eldritch Moon
46,Gisa and Geralf,,,,4.0,1.79,English,Normal,NEAR MINT,Eldritch Moon
47,"Gisela, the Broken Blade",,,,1.0,24.88,English,Normal,NEAR MINT,Eldritch Moon
48,Grim Flayer,,,,1.0,8.99,English,Foil,NEAR MINT,Eldritch Moon
49,Harmless Offering,,,,1.0,3.49,English,Foil,NEAR MINT,Eldritch Moon
50,"Ishkanah, Grafwidow",,,,10.0,1.29,English,Normal,NEAR MINT,Eldritch Moon
51,"Liliana, the Last Hope",,,,2.0,49.99,English,Foil,NEAR MINT,Eldritch Moon
52,"Liliana, the Last Hope",,,,2.0,19.99,English,Normal,NEAR MINT,Eldritch Moon
53,Mausoleum Wanderer,,,,1.0,2.29,English,Normal,NEAR MINT,Eldritch Moon
54,Mind's Dilation,,,,1.0,18.99,English,Foil,NEAR MINT,Eldritch Moon
55,Mirrorwing Dragon,,,,1.0,8.88,English,Foil,NEAR MINT,Eldritch Moon
56,Selfless Spirit,,,,8.0,11.88,English,Normal,NEAR MINT,Eldritch Moon
57,Spell Queller,,Rare,,4.0,2.99,English,Normal,NEAR MINT,Eldritch Moon
58,Splendid Reclamation,,,,1.0,7.49,English,Foil,NEAR MINT,Eldritch Moon
